feature,mean_abs_shap
num__loan_percent_income,0.23429412246474393
num__person_income,0.16378190803225456
cat__person_home_ownership_RENT,0.10470421926181364
cat__person_home_ownership_OWN,0.05293433195566464
num__loan_int_rate,0.0290801262868126
cat__loan_intent_DEBTCONSOLIDATION,0.018902981487220402
cat__loan_grade_D,0.017964351705978113
cat__loan_intent_MEDICAL,0.015165141210164572
num__person_emp_length,0.010367559812608649
cat__loan_grade_E,0.010066008171107832
num__loan_amnt,0.008843320276294163
cat__loan_grade_C,0.008689871669991934
cat__loan_intent_VENTURE,0.006904853030123973
cat__loan_grade_A,0.0061569981987515034
cat__loan_intent_HOMEIMPROVEMENT,0.006093248229600403
cat__loan_grade_F,0.0056926446179068535
cat__person_home_ownership_MORTGAGE,0.005287038885749178
num__person_age,0.003880945258115522
cat__loan_intent_EDUCATION,0.0038597330136296575
cat__loan_grade_B,0.0033958914268715896
num__cb_person_cred_hist_length,0.001658239988617122
cat__loan_intent_PERSONAL,0.0014800116364698664
cat__cb_person_default_on_file_N,0.0006342837804644479
cat__person_home_ownership_OTHER,0.0001999771667980722
cat__loan_grade_G,0.0
cat__cb_person_default_on_file_Y,0.0
